name,ticker,country,sector,weight_now,currency,mcap_local,mcap_usd
Kakaku.com,2371.T,JP,Comm Svcs,8.839812398250132,JPY,544049758208,3414545617.595825
Games Workshop,GAW.L,GB,Cons Disc,8.559270429773438,GBp,6430385664,8699585391.121399
Odontoprev,ODPV3.SA,BR,Healthcare,8.329771998847328,BRL,8116437504,1630035856.5268707
AutoTrader,AUTO.L,GB,Comm Svcs,7.7569141616109745,GBp,4132267264,5590490804.208099
Clicks Group,CLS.JO,ZA,Cons Staples,7.376243687186869,ZAc,62192652288,3764164180.211197
ITC,ITC.NS,IN,Cons Staples,7.296664435008754,INR,3778887811072,40107064423.42993
King Slide Works,2059.TW,TW,Industrials,5.140425333557571,TWD,361652125696,11500369862.290161
Largan Precision,3008.TW,TW,Info Tech,4.990075185267321,TWD,329611476992,10481492094.007812
Recruit Holdings,6098.T,JP,Industrials,4.695340443917989,JPY,10203527380992,64039013301.91406
Crompton Greaves,CROMPTON.NS,IN,Cons Disc,4.4577692868274434,INR,163549773824,1735828540.8678894
Next PLC,NXT.L,GB,Cons Disc,4.356545531429764,GBp,15288241152,20683263233.56897
Kimberly-Clark MX,KIMBERA.MX,MX,Cons Staples,4.223900238883379,MXN,124805292032,7175398726.803925
Mr Price,MRP.JO,ZA,Cons Disc,4.011674573119104,ZAc,40725745664,2464895568.867691
HM Sampoerna,HMSP.JK,ID,Cons Staples,3.959452603644016,IDR,83167427952640,4814880386.166077
Bumrungrad,BH.BK,TH,Healthcare,3.958761995438767,THB,135144316928,4182739333.1253815
Maruwa Co,5344.T,JP,Info Tech,2.3606420652559668,JPY,905658105856,5684058984.929199
Technogym,TGYM.MI,IT,Cons Disc,2.164902981652183,EUR,3943976192,4624737635.071899
Ipsen,IPN.PA,FR,Healthcare,1.928656876376638,EUR,13432214528,15750720852.729004
Dormakaba,DOKA.SW,CH,Industrials,1.9184745395504863,CHF,2187472384,2788969347.1661987
Rational AG,RAA.DE,DE,Industrials,1.8867352363159455,EUR,7481460224,8772819352.563232
Petronet LNG,PETRONET.NS,IN,Energy,1.7879659980859297,INR,410175045632,4353375332.246002
