rk,fic,company_name,gsector,market_cap_usd,final_score,composite,structural_multiplier,structural_score,structural_score_pure,structural_score_mixed,structural_tags,quality_block,persist_block,durability_block,capital_block,franchise_block,driver,roic_5y_avg,roic_min_10y,fcf_margin_5y_avg,piotroski,fcf_ev_5y_avg,maint_fcf_ev_5y_avg,growth_capx_years_5y,earnings_yield,pe_ratio,div_yield,fcf_pos_years_10y,fcf_cv_10y,interest_coverage_5y_min,shares_chg_5y_pct,fcf_ni_ratio_5y_avg,div_consecutive_yrs,gm_stdev_5y,sales_growth_5y,net_debt_ebitda,altman_z,adv_usd,tag_esg_excluded,tag_benchmark_orphan,tag_low_coverage,tag_complexity,tag_style_orphan,tag_orphan_country,tag_retail_dominated,flag_sales_decline,flag_roic_decay,flag_accruals,flag_cyclical,flag_nonrecurring,flag_stale,flag_illiquid,flag_dilution,flag_fcf_ev_extreme,flag_growth_capex,trap_flags
1,ZA,CLICKS GROUP LTD,30,1981509496.2850502,1.2015274670343412,0.7509546668964632,1.6,3.0,3,0,BMK|CPX|STY,0.9086294416243654,0.5642272983643543,0.5818527918781725,0.5981387478849408,0.5126903553299492,quality,0.3342533929069248,0.2889758623981336,0.081945239958642,8,0.044476375880223504,0.035897666786744255,0,0.08901302205751672,11.234311305078927,0.05698665380286219,10.0,0.4925802999946487,12.254622199490894,-0.051201827372789666,1.3434117011280826,1,0.014412117194650867,0.06384898214839296,0.12005552356798749,3.10139034528697,9768759.933141697,0,1,0,1,1,0,0,False,False,False,False,False,False,False,False,False,False,0
2,BR,ODONTOPREV SA,35,1287121523.42232,1.0224640713574737,0.7303314795410527,1.4,2.0,2,0,BMK|COV,0.9238578680203046,0.5133248730964467,0.623730964467005,0.3934010152284264,0.5228426395939086,quality,0.3999747865067783,0.2401437956023749,0.28180897338541827,8,0.11083126992650057,0.1025961205714457,0,0.07784971207192105,12.845262665533754,0.07018964259664477,10.0,0.47662567509238174,20.94267471067396,0.027699796946084154,1.3320155820394093,1,0.013767740757653248,0.06294257594547581,0.0,5.512397313830956,8315211.659333333,0,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,0
3,GB,AUTOTRADER GROUP PLC,50,5077677026.86592,0.9461287112922787,0.7884405927435656,1.2,1.0,1,0,CPX,0.9733502538071066,0.5748025944726453,0.7531725888324873,0.49153976311336717,0.4796954314720812,quality,0.4037059366737462,0.2336668628605062,0.5235248395184691,9,0.04112697287617863,0.03940642902666673,0,0.07068232148304322,14.147809226100494,0.030173841059602646,10.0,0.272497072111794,40.71794871794872,-0.04152949148406304,1.072980761463154,1,0.11361364160892853,0.2297882570911629,0.0,20.207626641651032,18511213.237320833,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,0
4,GB,DUNELM GROUP PLC,25,2316549312.96145,0.9179285459553466,0.6556632471109619,1.4,2.0,2,0,BMK|CPX,0.6535532994923858,0.6588409475465312,0.6186548223350254,0.7461928934010151,0.6116751269035533,capital,0.3372027154132114,0.18342892257271612,0.12961686637515563,6,0.08426204973449568,0.06236505689078116,0,0.08568822553845772,11.670214824920025,0.04908990623276339,10.0,0.42911376219408204,18.5,-0.0048304162958567876,1.3681868869158063,5,0.009483666304075733,0.07296800890068766,1.1429980276134124,2.689899064619837,3312708.483088158,0,1,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,0
5,GB,NEXT PLC,25,19756467872.4945,0.9058845364671221,0.7549037803892684,1.2,1.0,1,0,CPX,0.8629441624365483,0.6176677946982515,0.5348984771573604,0.5439932318104906,0.7741116751269035,quality,0.24490259936932518,0.10254958613150086,0.15553503224188842,8,0.06914568022315663,0.06218768527795974,0,0.05711521954645459,17.508468109566685,0.023658441049745398,10.0,0.291172557464475,10.195375722543352,-0.0882741271416182,1.1469641442798644,1,0.006828146135109573,0.10518165293645843,1.06644663096276,6.201600517753518,49297702.07165132,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,0
6,ZA,MR PRICE GROUP LTD,25,1264298896.53225,0.8911839157271905,0.556989947329494,1.6,3.0,3,0,BMK|COV|CPX,0.5139593908629442,0.6283840947546532,0.4866751269035533,0.6015228426395939,0.7969543147208122,franchise,0.18430682244708757,0.17151201826238754,0.17465228480123357,6,0.10693759134950309,0.07363842726482037,0,0.1572108466954831,6.360884258431588,0.10366977664687589,10.0,0.4977894940626395,6.338709677419355,0.009828410510154484,1.721284904133477,3,0.01141602388205259,0.16034605409643232,0.520317716127547,4.847260372873103,8988870.212099286,0,1,1,1,0,0,0,False,False,False,False,False,False,False,False,False,False,0
7,CH,ROCHE HOLDING AG,35,273258951914.19998,0.8605338009535106,0.614667000681079,1.4,2.0,2,0,CPX|STY,0.5926395939086294,0.649252679075014,0.7227157360406091,0.8037225042301185,0.4213197969543147,capital,0.23175344216508753,0.19675238706571452,0.2435005935816731,6,0.0680968863297654,0.06781924679127208,0,0.053262298995313075,18.775006315217393,0.032216734456711214,10.0,0.15212252488640354,15.71875,-0.0060580615934187065,1.3387918006721975,8,0.010313809574250564,-0.016876500231195468,0.7219848833388104,4.243315635279582,2865930.8990363637,0,0,0,1,1,0,0,False,False,False,False,False,False,False,False,False,False,0
8,JP,KAKAKU.COM INC,50,2397817042.355,0.8563226293826419,0.7136021911522016,1.2,1.0,1,0,BMK,0.6408629441624366,0.8384799774393682,0.8458121827411167,0.8155668358714044,0.8540609137055838,franchise,0.30627015866366974,0.253857467946939,0.3232198201386608,6,0.050151024318087864,0.04248508093272581,0,0.05597291049703433,17.865785272198487,0.027693159789531987,10.0,0.2223674971685418,1173.5,-0.039522335628003225,1.2525467553666008,8,0.0,0.11319469995385667,0.0,9.414238466451728,19719035.109074075,0,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,0
9,IN,ITC LTD,30,23253247392.78552,0.8414100301410321,0.5609400200940214,1.5,2.5,2,1,ESG|CPX|RTL,0.5824873096446701,0.5301043429216018,0.7975888324873097,0.19373942470389172,0.5989847715736041,durability,0.22572383494433898,0.1831080244107283,0.2130020840035995,6,0.07649163154300202,0.07941027138792701,2,0.1018212364065153,9.821133933274576,0.09383680331048752,10.0,0.26286559041265867,345.7317182593091,0.018051157678374397,0.798175263731488,1,0.017399034950181094,0.11193813695541355,0.0,10.039947498532676,58503358.318423934,1,0,0,1,0,0,1,False,False,False,False,False,False,False,False,False,False,0
10,IN,CROMPTON GREAVES CONSUMER,25,1864519912.05,0.8409227070737724,0.6468636208259787,1.3,1.5,1,1,BMK|RTL,0.6700507614213198,0.6135786802030457,0.424492385786802,0.5583756345177665,0.8578680203045685,franchise,0.15106062205110268,0.10916016951894146,0.10473546818370635,8,0.03092535099326123,0.03062963382122667,1,0.035780792454315695,27.9479556322511,0.012432656444260256,10.0,0.467762590242705,6.006699091493071,0.026343729475006405,1.2293734013477218,5,0.0055926350623888696,0.1311364263947956,0.0,4.417115190826782,10488121.200462857,0,1,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,0
