Metric,Portfolio,Benchmark (ACWX)
Annualised return,92.71%,53.04%
Annualised volatility,16.69%,23.18%
Daily std dev,1.0513%,1.4605%
Sharpe ratio,3.68,1.66
Sortino ratio,14.60,3.16
Treynor ratio,2.0756,0.4874
Calmar ratio,23.09,8.56
Information ratio,1.22,—
Tracking error (ann),18.92%,—
Beta (vs benchmark),0.426,1.000
Jensen's alpha (ann),47.55%,0.00%
R-squared,0.350,1.000
Max drawdown,-3.83%,-5.69%
Downside volatility,6.06%,15.42%
Up capture ratio,63.4%,100.0%
Down capture ratio,27.4%,100.0%
Trading days,35,35
