date,action,ticker,name,tier,shares,price,value,notes
2026-03-09,BUY,AUTO.L,AutoTrader,1,165.5629,483.2,80000.0,Inception — Tier 1 (8.0%)
2026-03-09,BUY,2371.T,Kakaku.com,1,44.8687,1782.9819,80000.0,Inception — Tier 1 (8.0%)
2026-03-09,BUY,CLS.JO,Clicks Group,1,2.7032,29595.0,80000.0,Inception — Tier 1 (8.0%)
2026-03-09,BUY,ITC.NS,ITC,1,261.4379,306.0,80000.0,Inception — Tier 1 (8.0%)
2026-03-09,BUY,ODPV3.SA,Odontoprev,1,5835.1568,13.71,80000.0,Inception — Tier 1 (8.0%)
2026-03-09,BUY,GAW.L,Games Workshop,1,4.748,16849.0508,80000.0,Inception — Tier 1 (8.0%)
2026-03-09,BUY,NXT.L,Next PLC,2,3.5253,12765.0,45000.0,Inception — Tier 2 (4.5%)
2026-03-09,BUY,CROMPTON.NS,Crompton Greaves,2,186.4898,241.3,45000.0,Inception — Tier 2 (4.5%)
2026-03-09,BUY,6098.T,Recruit Holdings,2,6.7293,6687.1528,45000.0,Inception — Tier 2 (4.5%)
2026-03-09,BUY,3008.TW,Largan Precision,2,20.1225,2236.3032,45000.0,Inception — Tier 2 (4.5%)
2026-03-09,BUY,HMSP.JK,HM Sampoerna,2,57.6923,780.0,45000.0,Inception — Tier 2 (4.5%)
2026-03-09,BUY,2059.TW,King Slide Works,2,15.0,3000.0,45000.0,Inception — Tier 2 (4.5%)
2026-03-09,BUY,KIMBERA.MX,Kimberly-Clark MX,2,1104.2856,40.7503,45000.0,Inception — Tier 2 (4.5%)
2026-03-09,BUY,MRP.JO,Mr Price,2,2.673,16835.0,45000.0,Inception — Tier 2 (4.5%)
2026-03-09,BUY,TGYM.MI,Technogym,3,1203.3694,16.62,20000.0,Inception — Tier 3 (2.0%)
2026-03-09,BUY,IPN.PA,Ipsen,3,129.7017,154.2,20000.0,Inception — Tier 3 (2.0%)
2026-03-09,BUY,5344.T,Maruwa Co,3,0.3679,54362.2891,20000.0,Inception — Tier 3 (2.0%)
2026-03-09,BUY,RAA.DE,Rational AG,3,30.1659,663.0,20000.0,Inception — Tier 3 (2.0%)
2026-03-09,BUY,DOKA.SW,Dormakaba,3,386.1004,51.8,20000.0,Inception — Tier 3 (2.0%)
2026-03-09,BUY,BH.BK,Bumrungrad,3,123.6048,161.806,20000.0,Inception — Tier 3 (2.0%)
2026-03-09,BUY,2270.SR,SADAFCO,3,92.3788,216.5,20000.0,Inception — Tier 3 (2.0%)
2026-03-09,BUY,PETRONET.NS,Petronet LNG,3,71.8004,278.55,20000.0,Inception — Tier 3 (2.0%)
